city,distance
Poland - Plock,0
Poland - Wloclawek,45
Poland - Lodz,88
Poland - Torun,90
Poland - Warsaw,96
Poland - Grudziadz,122
Poland - Bydgoszcz,131
Poland - Kalisz,141
Poland - Olsztyn,146
Poland - Radom,162
Poland - Elblag,180
Poland - Lidzbark Warminski,185
Poland - Poznan,189
Poland - Kielce,197
Poland - Czestochowa,197
Poland - Gdansk,212
Poland - Sopot,224
Poland - Gdynia,232
Poland - Bialystok,242
Poland - Wroclaw,244
Poland - Lublin,244
Russia - Kaliningrad,246
Poland - Dabrowa Gornicza,249
Belarus - Grodno,276
Poland - Krakow,277
Belarus - Brzesc,304
Czech Republic - Ostrava,317
Poland - Szczecin,359
Germany - Saxony - Gorlitz,360
Lithuania - Klaipeda,364
Czech Republic - Olomouc,371
Czech Republic - Hradec Kralove,374
Slovakia - Zilina,376
Czech Republic - Liberec,377
Germany - Brandenburg - Cottbus,378
Lithuania - Kaunas,382
Slovakia - Poprad,391
Slovakia - Presov,409
Ukraine - L'viv,427
Germany - Berlin - Berlin,429
Belarus - Baranovichi,430
Slovakia - Humenne,431
Czech Republic - Brno,432
Lithuania - Vilnius,439
Slovakia - Kosice,440
Lithuania - Siauliai,444
Czech Republic - Usti nad Labem,445
Germany - Mecklenburg-Western Pomerania - Neubrandenburg,446
Latvia - Liepaja,449
Germany - Brandenburg - Potsdam,451
Czech Republic - Prague,458
Ukraine - Uzhgorod,473
Germany - Mecklenburg-Western Pomerania - Stralsund,481
Hungary - Miskolc,500
Germany - Saxony - Chemnitz,506
Germany - Saxony-Anhalt - Dessau-Rosslau,516
Germany - Saxony - Leipzig,521
Slovakia - Bratislava,522
Latvia - Jelgava,525
Belarus - Salihorsk,530
Ukraine - Ternopil,531
Germany - Mecklenburg-Western Pomerania - Rostock,534
Austria - Lower Austria - Gmund,536
Austria - Vienna - Vienna,537
Germany - Saxony - Zwickau,539
Czech Republic - Plzen,541
Germany - Saxony-Anhalt - Halle,544
Austria - Lower Austria - Bruck an der Leitha,544
Belarus - Minsk,545
Germany - Saxony-Anhalt - Magdeburg,551
Latvia - Ventspils,553
Sweden - Malmo,555
Germany - Thuringia - Gera,558
Austria - Lower Austria - St. Polten,563
Hungary - Budapest,564
Latvia - Riga,566
Germany - Mecklenburg-Western Pomerania - Schwerin,568
Germany - Mecklenburg-Western Pomerania - Wismar,570
Austria - Burgenland - Eisenstadt,570
Germany - Saxony - Plauen,572
Hungary - Debrecen,575
Latvia - Daugavpils,578
Austria - Upper Austria - Freistadt,580
Denmark - Copenhagen,582
Germany - Thuringia - Jena,588
Denmark - Naestved,601
Germany - Thuringia - Weimar,603
Germany - Lower Saxony - Wolfsburg,605
Austria - Upper Austria - Linz,608
Belarus - Barysaw,614
Ukraine - Khmelnytskyi,617
Germany - Schleswig-Holstein - Lubeck,620
Austria - Upper Austria - Eferding,620
Germany - Thuringia - Erfurt,623
Germany - Bavaria - Passau,624
Germany - Lower Saxony - Braunschweig,625
Hungary - Kecskemet,629
Romania - Oradea,631
Austria - Upper Austria - Grieskirchen,635
Germany - Bavaria - Bayreuth,637
Germany - Lower Saxony - Salzgitter,638
Belarus - Babruysk,644
Germany - Lower Saxony - Celle,652
Estonia - Kuressaare,659
Germany - Hamburg - Hamburg,660
Germany - Schleswig-Holstein - Norderstedt,662
Germany - Bavaria - Regensburg,664
Latvia - Valmiera,664
Austria - Styria - Furstenfeld,664
Germany - Schleswig-Holstein - Kiel,665
Germany - Lower Saxony - Hildesheim,665
Germany - Schleswig-Holstein - Neumunster,669
Germany - Lower Saxony - Hannover,677
Belarus - Polotsk,678
